數據集(Samples),數據集(Nodes),演算法,used time,FDR,TPR,FPR,SHD,prediction positive
2000,300,Notears,133.0013351,0.996666667,1,2.006711409,44850,89700
2000,100,Notears,68.61229014,0.99,1,2.020408163,4950,9900
2000,20,Notears,56.45934319,0.95,1,2.111111111,190,380
500,300,Notears,122.6287532,0.996666667,1,2.006711409,44850,89700
500,100,Notears,67.64395165,0.99,1,2.020408163,4950,9900
500,20,Notears,54.19723964,0.95,1,2.111111111,190,380
2000,300,Notears-th0.3,133.0013351,0.031111111,0.72909699,0.000157123,86,225
2000,100,Notears-th0.3,68.61229014,0.085714286,0.646464646,0.001236858,40,70
2000,20,Notears-th0.3,56.45934319,0,0.789473684,0,4,15
500,300,Notears-th0.3,122.6287532,0.009852217,0.672240803,4.49E-05,98,203
500,100,Notears-th0.3,67.64395165,0.027027027,0.727272727,0.000412286,27,74
500,20,Notears-th0.3,54.19723964,0,0.684210526,0,6,13
2000,300,Notears-MLP,7444.227796,0.983334402,0.869565217,0.344346928,12609,15601
2000,100,Notears-MLP,488.7452285,0.949262537,0.868686869,0.331684189,1336,1695
2000,20,Notears-MLP,27.77219296,0.806451613,0.947368421,0.438596491,66,93
500,300,Notears-MLP,23463.75963,0.993482053,0.949832776,0.971650468,30731,43572
500,100,Notears-MLP,1587.304764,0.981456355,0.828282828,0.894660895,3135,4422
500,20,Notears-MLP,20.30814481,0.888157895,0.894736842,0.789473684,112,152
2000,300,GraNDAG,7166.056916,0.881673882,0.274247492,0.013714619,646,693
2000,100,GraNDAG,3749.881648,1,0,0.000206143,99,1
2000,20,GraNDAG,1159.950142,0.875,0.052631579,0.040935673,18,8
500,300,GraNDAG,10737.28824,0.894736842,0.006688963,0.000381585,298,19
500,100,GraNDAG,9495.513783,0.997557998,0.02020202,0.168418883,884,819
500,20,GraNDAG,2799.766348,0.952380952,0.052631579,0.116959064,31,21
2000,300,Lingam,7166.056916,0.881673882,0.274247492,0.013714619,646,693
2000,100,Lingam,272.612484,0.914285714,0.272727273,0.059369202,312,315
2000,20,Lingam,3.456010342,0.914634146,0.368421053,0.438596491,75,82
500,300,Lingam,4341.149875,0.769230769,0.25083612,0.005611546,310,325
500,100,Lingam,162.9476535,0.796610169,0.242424242,0.019377448,108,118
500,20,Lingam,2.390000582,0.896551724,0.157894737,0.152046784,31,29